param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
16383,13,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006
32767,14,0.02,0.,0.02,0.012,0.,0.012,0.012,0.,0.012,0.027,0.,0.027
65535,15,0.024,0.,0.024,0.042,0.,0.042,0.036,0.003,0.032,0.024,0.,0.024
131071,16,0.089,0.,0.089,0.066,0.,0.066,0.16,0.,0.16,0.063,0.,0.063
262143,17,0.188,0.004,0.184,0.266,0.,0.266,0.11,0.,0.11,0.12,0.,0.12
524287,18,0.497,0.004,0.493,0.224,0.,0.224,0.227,0.,0.227,0.224,0.,0.224
1048575,19,0.79,0.011,0.778,0.457,0.,0.457,0.452,0.,0.452,0.458,0.,0.458
2097151,20,1.172,0.024,1.148,0.903,0.,0.902,0.909,0.,0.909,0.906,0.,0.906
4194303,21,2.318,0.,2.317,1.805,0.,1.805,1.793,0.,1.792,1.775,0.,1.775
8388607,22,3.676,0.,3.676,3.601,0.,3.601,3.595,0.,3.594,3.583,0.,3.583
