param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.043,0.005,0.037,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
16383,13,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
32767,14,0.009,0.,0.009,0.009,0.,0.009,0.013,0.,0.013,0.009,0.,0.009,0.009,0.,0.009,0.009,0.,0.009,0.015,0.,0.015
65535,15,0.049,0.,0.049,0.019,0.,0.019,0.02,0.,0.02,0.018,0.,0.018,0.026,0.002,0.023,0.018,0.,0.018,0.032,0.,0.032
131071,16,0.055,0.,0.055,0.069,0.,0.069,0.063,0.,0.062,0.038,0.,0.038,0.036,0.,0.036,0.05,0.,0.05,0.106,0.,0.106
262143,17,0.124,0.003,0.12,0.077,0.,0.077,0.081,0.,0.081,0.075,0.,0.075,0.171,0.,0.171,0.075,0.,0.075,0.077,0.,0.077
524287,18,0.319,0.003,0.315,0.159,0.,0.159,0.161,0.,0.161,0.163,0.,0.163,0.161,0.,0.161,0.163,0.,0.163,0.16,0.,0.16
1048575,19,0.462,0.003,0.459,0.319,0.,0.319,0.314,0.,0.314,0.33,0.,0.329,0.321,0.,0.32,0.332,0.,0.332,0.329,0.,0.329
2097151,20,0.984,0.,0.984,0.646,0.,0.646,0.64,0.,0.64,0.633,0.,0.633,0.647,0.,0.647,0.638,0.,0.638,0.658,0.,0.657
4194303,21,1.538,0.007,1.531,1.324,0.,1.324,1.311,0.,1.311,1.31,0.,1.309,1.285,0.,1.284,1.276,0.,1.276,1.297,0.,1.297
8388607,22,2.843,0.,2.843,2.591,0.,2.591,2.546,0.,2.546,2.547,0.,2.547,2.545,0.,2.545,2.555,0.,2.555,2.58,0.,2.58
