param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.
3,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
4,0.002,0.,0.002,0.002,0.001,0.001,0.002,0.,0.002
5,0.005,0.,0.004,0.004,0.,0.004,0.004,0.,0.003
6,0.005,0.,0.005,0.005,0.,0.005,0.004,0.,0.004
7,0.005,0.001,0.003,0.005,0.002,0.002,0.004,0.,0.004
8,0.006,0.002,0.004,0.006,0.001,0.004,0.005,0.002,0.002
9,0.007,0.002,0.004,0.007,0.003,0.004,0.006,0.001,0.004
10,0.008,0.001,0.006,0.008,0.002,0.005,0.048,0.004,0.043
11,0.01,0.001,0.008,0.01,0.002,0.007,0.006,0.,0.006
12,0.011,0.002,0.008,0.011,0.002,0.008,0.007,0.,0.007
13,0.053,0.002,0.05,0.056,0.005,0.05,0.007,0.,0.007
14,,,,0.011,0.,0.011,0.008,0.,0.008
15,0.056,0.002,0.053,0.055,0.005,0.049,0.021,0.,0.021
16,,,,,,,0.01,0.,0.009
17,,,,,,,0.011,0.,0.011
18,,,,,,,0.012,0.,0.012
19,,,,,,,0.012,0.,0.012
20,0.023,0.,0.023,,,,0.013,0.,0.013
21,,,,,,,0.014,0.,0.014
22,,,,0.044,0.,0.044,0.022,0.009,0.013
23,,,,,,,0.017,0.,0.017
24,,,,,,,0.018,0.,0.018
25,,,,,,,0.024,0.,0.024
26,0.055,0.,0.055,,,,0.021,0.,0.021
27,,,,,,,0.023,0.,0.023
28,,,,,,,0.03,0.,0.03
29,,,,,,,0.025,0.,0.025
30,,,,0.059,0.,0.059,0.026,0.,0.026
31,,,,,,,0.028,0.,0.028
32,,,,,,,0.093,0.,0.093
33,0.075,0.,0.075,,,,0.034,0.,0.033
34,,,,,,,0.066,0.,0.066
35,,,,,,,0.035,0.,0.035
36,,,,,,,0.05,0.,0.05
37,,,,0.106,0.,0.106,0.038,0.,0.038
38,,,,,,,0.039,0.,0.039
39,0.115,0.,0.115,,,,0.043,0.,0.043
40,,,,,,,0.05,0.,0.05
41,,,,,,,0.053,0.,0.052
42,,,,,,,0.048,0.,0.048
43,,,,,,,0.107,0.003,0.104
44,,,,,,,0.119,0.,0.119
45,,,,0.168,0.,0.168,0.055,0.,0.054
46,0.239,0.,0.239,,,,0.086,0.001,0.085
47,,,,,,,0.076,0.,0.076
48,,,,,,,0.061,0.,0.061
49,,,,,,,0.065,0.,0.065
50,,,,,,,0.067,0.,0.067
51,,,,,,,0.073,0.001,0.071
52,0.284,0.,0.284,,,,,,
53,,,,0.358,0.,0.358,0.075,0.,0.075
54,,,,,,,0.08,0.,0.08
55,,,,,,,0.082,0.,0.081
56,,,,,,,0.083,0.,0.083
58,,,,,,,0.092,0.,0.091
59,,,,,,,0.094,0.,0.094
60,,,,,,,0.099,0.001,0.096
61,,,,,,,0.1,0.,0.1
62,0.486,0.,0.486,,,,,,
63,,,,0.473,0.,0.473,0.109,0.,0.108
64,,,,,,,0.112,0.,0.112
65,,,,,,,0.114,0.,0.114
66,,,,,,,0.118,0.,0.117
68,,,,,,,0.123,0.,0.123
69,,,,,,,0.13,0.,0.13
70,,,,,,,0.138,0.,0.138
71,,,,,,,0.144,0.,0.144
73,0.625,0.,0.624,,,,0.15,0.,0.15
74,,,,0.641,0.,0.641,0.153,0.,0.153
75,,,,,,,0.16,0.,0.16
78,,,,,,,0.173,0.,0.173
80,,,,,,,0.181,0.,0.18
83,0.871,0.,0.871,,,,0.196,0.001,0.194
84,,,,0.901,0.,0.901,,,
85,,,,,,,0.202,0.,0.202
88,,,,,,,0.218,0.,0.218
90,,,,,,,0.225,0.002,0.222
93,,,,,,,0.246,0.002,0.244
94,1.26,0.001,1.258,,,,,,
95,,,,1.284,0.,1.283,0.257,0.,0.257
98,,,,,,,0.268,0.,0.268
100,,,,,,,0.277,0.,0.276
104,1.705,0.001,1.703,,,,,,
105,,,,1.756,0.,1.754,,,
106,,,,,,,0.423,0.002,0.421
120,,,,,,,0.402,0.001,0.4
140,,,,,,,0.582,0.,0.582
159,,,,,,,0.749,0.,0.749
179,,,,,,,1.05,0.002,1.047
199,,,,,,,1.33,0.001,1.328
