param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.,0.,0.,0.,0.,0.,0.
32,5,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
64,6,0.004,0.,0.004,0.002,0.,0.002,0.001,0.,0.001
128,7,0.063,0.004,0.058,0.059,0.004,0.054,0.003,0.,0.003
256,8,0.03,0.,0.03,0.024,0.,0.024,0.005,0.,0.005
512,9,0.036,0.,0.036,0.025,0.,0.025,0.011,0.,0.011
1024,10,0.078,0.,0.077,0.054,0.,0.053,0.024,0.,0.024
2048,11,0.19,0.005,0.184,0.138,0.005,0.132,0.052,0.,0.052
4096,12,0.476,0.003,0.472,0.352,0.001,0.35,0.123,0.002,0.121
8192,13,0.958,0.017,0.94,0.675,0.015,0.66,0.282,0.002,0.279
16384,14,2.115,0.01,2.104,1.436,0.007,1.428,0.678,0.002,0.675
