param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.,0.,0.,0.,0.,0.,0.038,0.002,0.035,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
8191,12,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
16383,13,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
32767,14,0.011,0.,0.011,0.006,0.,0.006,0.006,0.,0.006,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006
65535,15,0.012,0.,0.012,0.04,0.,0.04,0.028,0.001,0.027,0.013,0.,0.013,0.012,0.,0.012,0.012,0.,0.012,0.012,0.,0.012
131071,16,0.045,0.,0.044,0.025,0.,0.025,0.024,0.,0.024,0.025,0.,0.025,0.061,0.,0.061,0.025,0.,0.025,0.025,0.,0.025
262143,17,0.084,0.003,0.08,0.053,0.,0.053,0.063,0.,0.063,0.051,0.,0.051,0.055,0.,0.054,0.049,0.,0.049,0.054,0.,0.054
524287,18,0.176,0.001,0.174,0.108,0.,0.108,0.106,0.,0.106,0.11,0.,0.11,0.112,0.,0.112,0.107,0.,0.107,0.11,0.,0.11
1048575,19,0.36,0.,0.36,0.232,0.,0.232,0.23,0.,0.23,0.238,0.,0.237,0.236,0.,0.236,0.229,0.,0.229,0.228,0.,0.228
2097151,20,0.696,0.,0.696,0.469,0.,0.469,0.463,0.,0.463,0.464,0.,0.464,0.466,0.,0.466,0.461,0.,0.461,0.47,0.,0.47
4194303,21,1.022,0.,1.021,0.907,0.,0.906,0.915,0.,0.915,0.923,0.001,0.922,0.9,0.,0.9,0.899,0.,0.899,0.904,0.,0.904
8388607,22,2.563,0.,2.563,1.869,0.,1.869,1.85,0.,1.85,1.875,0.,1.875,1.848,0.,1.848,1.877,0.,1.877,1.851,0.,1.851
