param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
3,0.047,0.,0.046,0.047,0.,0.046,0.047,0.002,0.044
4,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
5,0.004,0.,0.004,0.003,0.,0.002,0.004,0.001,0.003
6,0.05,0.003,0.047,0.051,0.002,0.049,0.004,0.,0.004
7,0.05,0.,0.049,0.05,0.003,0.047,0.005,0.,0.005
8,0.006,0.,0.006,0.006,0.,0.006,0.005,0.,0.005
9,0.007,0.,0.007,0.007,0.,0.007,0.006,0.,0.006
10,0.008,0.,0.008,0.008,0.,0.008,0.007,0.,0.007
11,0.01,0.,0.01,0.01,0.,0.01,0.008,0.,0.008
12,0.012,0.,0.012,0.012,0.,0.012,0.011,0.,0.011
13,0.014,0.,0.014,0.014,0.,0.014,0.011,0.,0.011
14,,,,0.018,0.,0.018,0.012,0.,0.012
15,0.021,0.,0.021,0.021,0.,0.021,0.014,0.,0.014
16,,,,,,,0.015,0.,0.015
17,,,,,,,0.017,0.,0.017
18,,,,,,,0.019,0.,0.019
19,,,,,,,0.021,0.,0.021
20,0.044,0.,0.044,,,,0.023,0.,0.023
21,,,,,,,0.025,0.,0.025
22,,,,0.056,0.,0.056,0.073,0.005,0.068
23,,,,,,,0.03,0.,0.03
24,,,,,,,0.035,0.,0.034
25,,,,,,,0.037,0.,0.037
26,0.097,0.,0.096,,,,0.039,0.,0.039
27,,,,,,,0.043,0.,0.043
28,,,,,,,0.045,0.,0.045
29,,,,,,,0.049,0.,0.049
30,,,,0.151,0.,0.151,0.053,0.,0.053
31,,,,,,,0.057,0.,0.057
32,,,,,,,0.062,0.,0.062
33,0.212,0.,0.212,,,,0.066,0.,0.066
34,,,,,,,0.073,0.,0.072
35,,,,,,,0.076,0.,0.076
36,,,,,,,0.08,0.,0.08
37,,,,0.309,0.,0.309,0.085,0.,0.085
38,,,,,,,0.092,0.,0.092
39,0.375,0.,0.375,,,,0.1,0.,0.1
40,,,,,,,0.104,0.,0.104
41,,,,,,,0.11,0.,0.109
42,,,,,,,0.122,0.,0.122
43,,,,,,,0.119,0.,0.119
44,,,,,,,0.128,0.,0.128
45,,,,0.624,0.,0.624,0.137,0.,0.136
46,0.673,0.,0.673,,,,0.15,0.,0.15
47,,,,,,,0.153,0.,0.152
48,,,,,,,0.165,0.,0.165
49,,,,,,,0.168,0.,0.168
50,,,,,,,0.183,0.,0.182
51,,,,,,,0.194,0.,0.193
52,1.07,0.,1.07,,,,,,
53,,,,1.14,0.,1.14,0.206,0.,0.206
54,,,,,,,0.215,0.,0.215
55,,,,,,,0.23,0.,0.23
56,,,,,,,0.237,0.,0.237
58,,,,,,,0.258,0.,0.258
59,,,,,,,0.26,0.,0.26
60,,,,,,,0.273,0.001,0.271
61,,,,,,,0.284,0.,0.284
62,2.083,0.,2.082,,,,,,
63,,,,2.214,0.,2.213,0.312,0.,0.311
64,,,,,,,0.337,0.,0.336
65,,,,,,,0.33,0.,0.33
66,,,,,,,0.351,0.,0.35
68,,,,,,,0.38,0.,0.38
69,,,,,,,0.393,0.,0.392
70,,,,,,,0.41,0.,0.409
71,,,,,,,0.421,0.,0.42
73,3.898,0.001,3.897,,,,0.469,0.,0.468
74,,,,4.123,0.,4.123,0.493,0.,0.493
75,,,,,,,0.523,0.002,0.52
78,,,,,,,0.571,0.,0.571
80,,,,,,,0.617,0.,0.616
83,6.443,0.,6.442,,,,0.673,0.,0.673
84,,,,6.752,0.,6.75,,,
85,,,,,,,0.722,0.,0.722
88,,,,,,,0.787,0.,0.787
90,,,,,,,0.81,0.,0.809
93,,,,,,,0.886,0.,0.885
94,10.376,0.003,10.372,,,,,,
95,,,,10.897,0.003,10.892,0.94,0.,0.94
98,,,,,,,1.019,0.,1.019
100,,,,,,,1.087,0.,1.086
104,15.003,0.004,14.997,,,,,,
105,,,,15.727,0.002,15.724,,,
106,,,,,,,1.315,0.,1.315
120,,,,,,,1.842,0.,1.842
140,,,,,,,2.937,0.,2.937
159,,,,,,,4.176,0.,4.175
179,,,,,,,5.75,0.,5.75
199,,,,,,,8.049,0.,8.048
