param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
8191,12,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
16383,13,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
32767,14,0.01,0.,0.01,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.006,0.005,0.,0.005,0.006,0.,0.006
65535,15,0.012,0.,0.012,0.012,0.,0.012,0.026,0.,0.025,0.037,0.,0.037,0.011,0.,0.011,0.012,0.,0.012,0.011,0.,0.011
131071,16,0.035,0.,0.035,0.024,0.,0.024,0.043,0.,0.043,0.055,0.,0.055,0.025,0.,0.025,0.023,0.,0.023,0.037,0.002,0.035
262143,17,0.076,0.,0.076,0.054,0.,0.054,0.075,0.,0.074,0.055,0.,0.055,0.068,0.,0.068,0.054,0.,0.054,0.054,0.,0.054
524287,18,0.164,0.,0.164,0.104,0.,0.104,0.111,0.,0.111,0.104,0.,0.104,0.106,0.,0.106,0.11,0.,0.11,0.109,0.,0.109
1048575,19,0.411,0.003,0.408,0.208,0.,0.208,0.215,0.,0.215,0.216,0.,0.216,0.22,0.,0.22,0.219,0.,0.219,0.216,0.,0.216
2097151,20,0.69,0.002,0.687,0.438,0.,0.438,0.437,0.,0.437,0.441,0.,0.441,0.434,0.,0.434,0.436,0.,0.436,0.438,0.,0.438
4194303,21,1.238,0.,1.238,0.879,0.,0.879,0.887,0.,0.887,0.892,0.,0.892,0.875,0.,0.875,0.874,0.,0.874,0.882,0.,0.881
8388607,22,1.807,0.,1.806,1.763,0.,1.762,1.744,0.,1.744,1.768,0.,1.768,1.733,0.,1.733,1.745,0.001,1.744,1.772,0.,1.771
