param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.001,0.001,0.,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.,0.001,0.,0.001
3,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.001
4,0.002,0.001,0.001,0.002,0.,0.002,0.002,0.001,0.
5,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
6,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.003
7,0.005,0.001,0.004,0.004,0.,0.003,0.005,0.,0.005
8,0.005,0.001,0.003,0.006,0.,0.006,0.006,0.,0.005
9,0.006,0.001,0.005,0.007,0.001,0.006,0.006,0.,0.005
10,0.008,0.,0.007,0.008,0.001,0.006,0.007,0.,0.006
11,0.009,0.002,0.006,0.009,0.004,0.005,0.044,0.003,0.04
12,0.011,0.005,0.005,0.011,0.004,0.007,0.007,0.,0.007
13,0.047,0.003,0.044,0.012,0.004,0.007,0.008,0.,0.008
14,,,,0.011,0.,0.011,0.008,0.,0.008
15,0.049,0.005,0.043,0.049,0.008,0.041,0.009,0.,0.009
16,,,,,,,0.011,0.,0.011
17,,,,,,,0.011,0.,0.011
18,,,,,,,0.012,0.,0.012
19,,,,,,,0.014,0.,0.013
20,0.021,0.,0.021,,,,0.014,0.,0.014
21,,,,,,,0.016,0.,0.016
22,,,,0.027,0.,0.027,0.022,0.002,0.019
23,,,,,,,0.017,0.,0.017
24,,,,,,,0.02,0.,0.02
25,,,,,,,0.02,0.,0.02
26,0.039,0.,0.039,,,,0.022,0.,0.022
27,,,,,,,0.022,0.,0.022
28,,,,,,,0.025,0.,0.025
29,,,,,,,0.026,0.,0.026
30,,,,0.055,0.,0.055,0.029,0.,0.029
31,,,,,,,0.028,0.,0.028
32,,,,,,,0.03,0.,0.03
33,0.068,0.,0.068,,,,0.032,0.,0.032
34,,,,,,,0.033,0.,0.033
35,,,,,,,0.037,0.,0.037
36,,,,,,,0.038,0.,0.038
37,,,,0.09,0.,0.09,0.041,0.,0.041
38,,,,,,,0.041,0.,0.041
39,0.103,0.,0.103,,,,0.045,0.,0.045
40,,,,,,,0.046,0.,0.046
41,,,,,,,0.048,0.,0.048
42,,,,,,,0.052,0.,0.052
43,,,,,,,0.092,0.002,0.089
44,,,,,,,0.055,0.,0.054
45,,,,0.147,0.,0.147,0.057,0.,0.057
46,0.154,0.,0.153,,,,0.064,0.,0.064
47,,,,,,,0.066,0.,0.066
48,,,,,,,0.062,0.,0.062
49,,,,,,,0.067,0.,0.067
50,,,,,,,0.07,0.,0.07
51,,,,,,,0.076,0.,0.076
52,0.209,0.,0.209,,,,,,
53,,,,0.224,0.,0.224,0.081,0.,0.081
54,,,,,,,0.085,0.,0.085
55,,,,,,,0.087,0.,0.087
56,,,,,,,0.091,0.,0.091
58,,,,,,,0.095,0.,0.095
59,,,,,,,0.095,0.,0.095
60,,,,,,,0.099,0.,0.099
61,,,,,,,0.102,0.,0.102
62,0.338,0.,0.338,,,,,,
63,,,,0.353,0.,0.353,0.105,0.,0.104
64,,,,,,,0.11,0.,0.11
65,,,,,,,0.113,0.,0.113
66,,,,,,,0.116,0.001,0.115
68,,,,,,,0.122,0.,0.122
69,,,,,,,0.125,0.,0.124
70,,,,,,,0.13,0.001,0.129
71,,,,,,,0.136,0.,0.135
73,0.528,0.,0.528,,,,0.141,0.,0.141
74,,,,0.545,0.,0.545,0.145,0.,0.145
75,,,,,,,0.148,0.,0.147
78,,,,,,,0.174,0.,0.173
80,,,,,,,0.184,0.,0.183
83,0.756,0.,0.755,,,,0.199,0.,0.199
84,,,,0.78,0.,0.78,,,
85,,,,,,,0.207,0.,0.207
88,,,,,,,0.221,0.001,0.219
90,,,,,,,0.225,0.,0.225
93,,,,,,,0.231,0.001,0.229
94,1.085,0.,1.083,,,,,,
95,,,,1.115,0.,1.114,0.241,0.,0.24
98,,,,,,,0.253,0.,0.253
100,,,,,,,0.264,0.002,0.261
104,1.461,0.001,1.459,,,,,,
105,,,,1.459,0.,1.458,,,
106,,,,,,,0.314,0.001,0.312
120,,,,,,,0.38,0.002,0.377
140,,,,,,,0.545,0.002,0.542
159,,,,,,,0.765,0.,0.765
179,,,,,,,0.919,0.,0.919
199,,,,,,,1.163,0.,1.16
