param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.036,0.,0.036,0.,0.,0.,0.,0.,0.
8191,12,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
16383,13,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
32767,14,0.012,0.,0.012,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.016,0.,0.016,0.006,0.,0.006
65535,15,0.013,0.,0.013,0.013,0.,0.013,0.013,0.,0.013,0.037,0.,0.037,0.027,0.002,0.025,0.013,0.,0.013,0.013,0.,0.013
131071,16,0.048,0.003,0.044,0.025,0.,0.025,0.026,0.,0.026,0.025,0.,0.025,0.064,0.,0.064,0.026,0.,0.026,0.026,0.,0.026
262143,17,0.112,0.006,0.106,0.053,0.,0.053,0.06,0.,0.06,0.051,0.,0.051,0.054,0.,0.054,0.051,0.,0.051,0.054,0.,0.054
524287,18,0.203,0.004,0.198,0.113,0.,0.113,0.118,0.,0.118,0.116,0.,0.116,0.115,0.,0.115,0.117,0.,0.117,0.113,0.,0.113
1048575,19,0.403,0.001,0.402,0.244,0.,0.244,0.247,0.,0.247,0.244,0.,0.244,0.244,0.,0.244,0.248,0.,0.248,0.246,0.,0.246
2097151,20,0.596,0.,0.596,0.497,0.,0.497,0.498,0.,0.497,0.499,0.,0.499,0.501,0.,0.501,0.5,0.,0.5,0.499,0.,0.499
4194303,21,1.201,0.,1.201,0.996,0.,0.996,0.996,0.,0.995,0.99,0.,0.99,0.998,0.,0.998,0.984,0.,0.984,0.98,0.,0.98
8388607,22,2.172,0.007,2.165,2.001,0.,2.001,1.969,0.,1.969,2.001,0.,2.,2.007,0.,2.006,2.01,0.,2.01,1.994,0.,1.994
