param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.001,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.002,0.,0.001,0.001,0.,0.,0.,0.,0.
32,5,0.004,0.,0.003,0.002,0.,0.002,0.001,0.,0.001
64,6,0.008,0.,0.008,0.005,0.,0.005,0.002,0.,0.002
128,7,0.107,0.007,0.1,0.102,0.007,0.095,0.004,0.,0.004
256,8,0.037,0.,0.036,0.027,0.,0.027,0.009,0.,0.009
512,9,0.101,0.,0.101,0.082,0.,0.082,0.018,0.,0.018
1024,10,0.21,0.004,0.206,0.168,0.004,0.164,0.042,0.,0.042
2048,11,0.691,0.003,0.687,0.604,0.003,0.6,0.085,0.,0.085
4096,12,2.58,0.031,2.548,2.276,0.023,2.252,0.303,0.007,0.295
8192,13,8.856,0.04,8.815,8.288,0.024,8.263,0.567,0.015,0.551
16384,14,30.289,0.064,30.22,29.376,0.056,29.316,0.912,0.008,0.903
