param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.001
3,0.002,0.,0.001,0.002,0.,0.002,0.002,0.,0.002
4,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.002
5,0.003,0.,0.002,0.003,0.,0.003,0.004,0.,0.004
6,0.004,0.,0.003,0.004,0.,0.004,0.005,0.,0.004
7,0.005,0.,0.005,0.005,0.,0.004,0.044,0.006,0.038
8,0.006,0.001,0.004,0.006,0.001,0.004,0.005,0.,0.005
9,0.006,0.,0.006,0.045,0.,0.044,0.006,0.,0.006
10,0.045,0.003,0.041,0.045,0.001,0.044,0.007,0.,0.007
11,0.008,0.,0.008,0.008,0.,0.008,0.007,0.,0.007
12,0.009,0.,0.009,0.01,0.,0.01,0.008,0.,0.008
13,0.011,0.,0.011,0.011,0.,0.011,0.011,0.,0.011
14,,,,0.014,0.,0.014,0.01,0.,0.01
15,0.014,0.,0.014,0.014,0.,0.014,0.011,0.,0.011
16,,,,,,,0.013,0.,0.013
17,,,,,,,0.013,0.,0.013
18,,,,,,,0.015,0.,0.015
19,,,,,,,0.017,0.,0.017
20,0.026,0.,0.026,,,,0.017,0.,0.017
21,,,,,,,0.02,0.,0.02
22,,,,0.031,0.,0.031,0.061,0.007,0.053
23,,,,,,,0.021,0.,0.021
24,,,,,,,0.024,0.,0.024
25,,,,,,,0.024,0.,0.024
26,0.045,0.,0.045,,,,0.027,0.,0.027
27,,,,,,,0.028,0.,0.028
28,,,,,,,0.028,0.,0.028
29,,,,,,,0.032,0.,0.032
30,,,,0.063,0.,0.063,0.033,0.,0.033
31,,,,,,,0.035,0.,0.035
32,,,,,,,0.037,0.,0.037
33,0.079,0.,0.079,,,,0.039,0.,0.039
34,,,,,,,0.04,0.,0.04
35,,,,,,,0.043,0.,0.043
36,,,,,,,0.046,0.,0.046
37,,,,0.106,0.,0.106,0.047,0.,0.047
38,,,,,,,0.048,0.,0.048
39,0.117,0.,0.117,,,,0.054,0.,0.054
40,,,,,,,0.055,0.,0.054
41,,,,,,,0.055,0.,0.055
42,,,,,,,0.059,0.,0.059
43,,,,,,,0.06,0.,0.06
44,,,,,,,0.063,0.,0.063
45,,,,0.169,0.,0.169,0.064,0.,0.064
46,0.178,0.,0.178,,,,0.076,0.,0.076
47,,,,,,,0.077,0.,0.077
48,,,,,,,0.08,0.,0.08
49,,,,,,,0.079,0.,0.079
50,,,,,,,0.079,0.,0.079
51,,,,,,,0.083,0.,0.083
52,0.243,0.,0.243,,,,,,
53,,,,0.26,0.,0.26,0.089,0.,0.089
54,,,,,,,0.094,0.,0.094
55,,,,,,,0.099,0.,0.099
56,,,,,,,0.102,0.,0.102
58,,,,,,,0.119,0.,0.118
59,,,,,,,0.112,0.,0.112
60,,,,,,,0.116,0.,0.115
61,,,,,,,0.12,0.,0.12
62,0.386,0.,0.386,,,,,,
63,,,,0.414,0.001,0.412,0.126,0.,0.126
64,,,,,,,0.134,0.,0.134
65,,,,,,,0.133,0.,0.132
66,,,,,,,0.137,0.,0.136
68,,,,,,,0.143,0.,0.143
69,,,,,,,0.15,0.,0.149
70,,,,,,,0.152,0.,0.151
71,,,,,,,0.156,0.,0.156
73,0.607,0.,0.606,,,,0.166,0.,0.166
74,,,,0.653,0.,0.653,0.17,0.,0.169
75,,,,,,,0.174,0.,0.173
78,,,,,,,0.197,0.,0.197
80,,,,,,,0.203,0.,0.203
83,0.88,0.,0.88,,,,0.236,0.,0.236
84,,,,0.916,0.,0.916,,,
85,,,,,,,0.231,0.,0.231
88,,,,,,,0.248,0.001,0.245
90,,,,,,,0.26,0.,0.26
93,,,,,,,0.263,0.,0.262
94,1.256,0.001,1.254,,,,,,
95,,,,1.316,0.,1.315,0.273,0.,0.272
98,,,,,,,0.298,0.,0.297
100,,,,,,,0.308,0.001,0.307
104,1.685,0.,1.684,,,,,,
105,,,,1.741,0.002,1.737,,,
106,,,,,,,0.359,0.,0.358
120,,,,,,,0.442,0.,0.441
140,,,,,,,0.635,0.003,0.631
159,,,,,,,0.861,0.,0.861
179,,,,,,,1.02,0.,1.02
199,,,,,,,1.315,0.,1.315
