param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.001,0.,0.001,0.001,0.,0.,0.001,0.,0.001
2,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
3,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
4,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005
5,0.005,0.,0.005,0.006,0.,0.005,0.007,0.,0.006
6,0.007,0.,0.006,0.007,0.,0.007,0.007,0.,0.007
7,0.009,0.,0.009,0.008,0.,0.008,0.009,0.,0.009
8,0.011,0.,0.011,0.012,0.,0.012,0.011,0.,0.011
9,0.012,0.,0.012,0.013,0.,0.013,0.013,0.,0.013
10,0.017,0.,0.017,0.017,0.,0.017,0.014,0.,0.014
11,0.023,0.,0.023,0.02,0.,0.02,0.015,0.,0.015
12,0.025,0.,0.024,0.025,0.,0.025,0.018,0.,0.018
13,0.028,0.,0.028,0.028,0.,0.028,0.029,0.,0.029
14,,,,0.043,0.001,0.041,0.027,0.,0.027
15,0.039,0.,0.039,0.041,0.,0.041,0.03,0.,0.03
16,,,,,,,0.047,0.,0.047
17,,,,,,,0.032,0.,0.032
18,,,,,,,0.036,0.,0.036
19,,,,,,,0.038,0.,0.038
20,0.087,0.,0.087,,,,0.077,0.,0.077
21,,,,,,,0.046,0.,0.046
22,,,,0.119,0.,0.119,0.054,0.,0.054
23,,,,,,,0.053,0.,0.053
24,,,,,,,0.061,0.,0.061
25,,,,,,,0.063,0.,0.063
26,0.176,0.,0.176,,,,0.164,0.,0.164
27,,,,,,,0.074,0.003,0.07
28,,,,,,,0.098,0.,0.098
29,,,,,,,0.082,0.,0.082
30,,,,0.285,0.,0.285,0.091,0.,0.091
31,,,,,,,0.109,0.,0.109
32,,,,,,,0.116,0.,0.116
33,0.467,0.,0.467,,,,0.138,0.,0.138
34,,,,,,,0.218,0.,0.218
35,,,,,,,0.144,0.,0.144
36,,,,,,,0.138,0.,0.138
37,,,,0.667,0.,0.667,0.149,0.,0.149
38,,,,,,,0.167,0.,0.167
39,0.672,0.,0.672,,,,0.259,0.,0.259
40,,,,,,,0.188,0.,0.188
41,,,,,,,0.176,0.,0.176
42,,,,,,,0.201,0.,0.201
43,,,,,,,0.217,0.004,0.212
44,,,,,,,0.222,0.,0.222
45,,,,1.21,0.,1.209,0.217,0.,0.217
46,1.341,0.,1.341,,,,0.232,0.,0.232
47,,,,,,,0.258,0.,0.258
48,,,,,,,0.264,0.,0.264
49,,,,,,,0.289,0.,0.289
50,,,,,,,0.294,0.,0.294
51,,,,,,,0.314,0.,0.314
52,1.705,0.003,1.702,,,,,,
53,,,,2.027,0.003,2.023,0.342,0.,0.342
54,,,,,,,0.379,0.,0.379
55,,,,,,,0.385,0.,0.385
56,,,,,,,0.407,0.,0.407
58,,,,,,,0.441,0.,0.441
59,,,,,,,0.455,0.,0.455
60,,,,,,,0.47,0.,0.47
61,,,,,,,0.495,0.,0.495
62,3.242,0.,3.242,,,,,,
63,,,,3.611,0.004,3.607,0.53,0.,0.53
64,,,,,,,0.664,0.,0.664
65,,,,,,,0.57,0.,0.57
66,,,,,,,0.579,0.003,0.575
68,,,,,,,0.619,0.,0.619
69,,,,,,,0.645,0.,0.645
70,,,,,,,0.661,0.,0.661
71,,,,,,,0.7,0.,0.7
73,6.077,0.,6.076,,,,0.743,0.,0.743
74,,,,6.312,0.003,6.307,0.754,0.,0.754
75,,,,,,,0.818,0.,0.818
78,,,,,,,0.909,0.003,0.905
80,,,,,,,0.976,0.,0.976
83,10.27,0.003,10.265,,,,1.069,0.003,1.065
84,,,,10.665,0.,10.665,,,
85,,,,,,,1.335,0.004,1.33
88,,,,,,,1.271,0.003,1.267
90,,,,,,,1.336,0.,1.336
93,,,,,,,1.397,0.008,1.389
94,16.731,0.,16.729,,,,,,
95,,,,17.196,0.008,17.187,1.459,0.,1.458
98,,,,,,,1.586,0.,1.586
100,,,,,,,1.718,0.004,1.714
104,24.682,0.016,24.66,,,,,,
105,,,,25.179,0.015,25.161,,,
106,,,,,,,2.262,0.015,2.246
120,,,,,,,2.747,0.,2.747
140,,,,,,,4.403,0.,4.403
159,,,,,,,6.411,0.003,6.407
179,,,,,,,8.891,0.008,8.882
199,,,,,,,11.851,0.,11.85
