param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.001,0.001,0.,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
3,0.002,0.,0.002,0.001,0.001,0.,0.002,0.001,0.
4,0.002,0.,0.001,0.002,0.,0.002,0.002,0.,0.002
5,0.004,0.,0.003,0.004,0.,0.004,0.004,0.,0.003
6,0.005,0.002,0.002,0.005,0.001,0.004,0.004,0.,0.003
7,0.005,0.,0.004,0.005,0.001,0.003,0.005,0.001,0.004
8,0.006,0.,0.005,0.006,0.003,0.002,0.005,0.001,0.004
9,0.007,0.001,0.005,0.007,0.001,0.006,0.006,0.,0.005
10,0.009,0.001,0.007,0.009,0.001,0.007,0.007,0.001,0.005
11,0.01,0.002,0.007,0.01,0.001,0.009,0.043,0.005,0.038
12,0.012,0.002,0.01,0.012,0.003,0.009,0.007,0.,0.007
13,0.048,0.001,0.047,0.047,0.004,0.042,0.008,0.,0.008
14,,,,0.012,0.,0.012,0.008,0.,0.008
15,0.049,0.006,0.042,0.049,0.003,0.045,0.023,0.,0.023
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.011,0.,0.011
18,,,,,,,0.013,0.,0.013
19,,,,,,,0.013,0.,0.013
20,0.025,0.,0.025,,,,0.014,0.,0.014
21,,,,,,,0.015,0.,0.015
22,,,,0.045,0.,0.045,0.023,0.008,0.015
23,,,,,,,0.018,0.001,0.016
24,,,,,,,0.019,0.,0.019
25,,,,,,,0.02,0.,0.02
26,0.059,0.,0.059,,,,0.026,0.,0.025
27,,,,,,,0.024,0.,0.024
28,,,,,,,0.031,0.,0.031
29,,,,,,,0.026,0.,0.026
30,,,,0.062,0.,0.062,0.027,0.,0.027
31,,,,,,,0.03,0.,0.03
32,,,,,,,0.084,0.,0.084
33,0.078,0.,0.078,,,,0.033,0.,0.033
34,,,,,,,0.063,0.,0.063
35,,,,,,,0.04,0.,0.04
36,,,,,,,0.055,0.,0.054
37,,,,0.106,0.,0.106,0.04,0.,0.04
38,,,,,,,0.041,0.,0.041
39,0.127,0.,0.127,,,,0.044,0.,0.044
40,,,,,,,0.053,0.,0.053
41,,,,,,,0.055,0.,0.055
42,,,,,,,0.05,0.,0.05
43,,,,,,,0.104,0.006,0.097
44,,,,,,,0.116,0.,0.116
45,,,,0.175,0.,0.175,0.058,0.,0.058
46,0.235,0.,0.234,,,,0.089,0.,0.088
47,,,,,,,0.07,0.,0.07
48,,,,,,,0.064,0.,0.064
49,,,,,,,0.066,0.,0.066
50,,,,,,,0.069,0.,0.069
51,,,,,,,0.073,0.,0.073
52,0.293,0.,0.293,,,,,,
53,,,,0.353,0.001,0.352,0.079,0.,0.079
54,,,,,,,0.08,0.,0.08
55,,,,,,,0.087,0.,0.086
56,,,,,,,0.088,0.,0.088
58,,,,,,,0.094,0.,0.094
59,,,,,,,0.098,0.,0.098
60,,,,,,,0.103,0.,0.103
61,,,,,,,0.107,0.,0.107
62,0.5,0.,0.5,,,,,,
63,,,,0.498,0.,0.498,0.114,0.001,0.112
64,,,,,,,0.11,0.,0.109
65,,,,,,,0.119,0.,0.119
66,,,,,,,0.123,0.001,0.121
68,,,,,,,0.126,0.,0.126
69,,,,,,,0.143,0.,0.143
70,,,,,,,0.14,0.,0.139
71,,,,,,,0.147,0.,0.147
73,0.616,0.,0.616,,,,0.16,0.001,0.158
74,,,,0.656,0.,0.656,0.163,0.,0.163
75,,,,,,,0.169,0.,0.168
78,,,,,,,0.174,0.,0.173
80,,,,,,,0.19,0.,0.189
83,0.888,0.,0.887,,,,0.204,0.,0.204
84,,,,0.919,0.,0.917,,,
85,,,,,,,0.212,0.,0.211
88,,,,,,,0.233,0.,0.232
90,,,,,,,0.236,0.,0.236
93,,,,,,,0.249,0.,0.248
94,1.264,0.,1.264,,,,,,
95,,,,1.309,0.,1.308,0.251,0.002,0.248
98,,,,,,,0.272,0.004,0.267
100,,,,,,,0.291,0.,0.291
104,1.686,0.004,1.681,,,,,,
105,,,,1.756,0.,1.755,,,
106,,,,,,,0.415,0.003,0.411
120,,,,,,,0.417,0.,0.417
140,,,,,,,0.594,0.,0.594
159,,,,,,,0.815,0.001,0.813
179,,,,,,,1.077,0.001,1.076
199,,,,,,,1.308,0.,1.307
