param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.,0.,0.,0.,0.,0.,0.
32,5,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
64,6,0.004,0.001,0.002,0.002,0.001,0.001,0.001,0.,0.
128,7,0.04,0.005,0.035,0.037,0.004,0.032,0.003,0.,0.002
256,8,0.03,0.,0.03,0.025,0.,0.025,0.005,0.,0.005
512,9,0.036,0.,0.036,0.024,0.,0.024,0.011,0.,0.011
1024,10,0.079,0.,0.079,0.055,0.,0.055,0.023,0.,0.023
2048,11,0.191,0.011,0.179,0.141,0.011,0.13,0.05,0.,0.049
4096,12,0.464,0.003,0.46,0.341,0.002,0.338,0.122,0.,0.121
8192,13,0.946,0.008,0.937,0.662,0.008,0.654,0.284,0.,0.283
16384,14,2.092,0.01,2.081,1.415,0.01,1.405,0.676,0.,0.675
