param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.,0.001,0.001,0.,0.001,0.001,0.
3,0.002,0.,0.002,0.002,0.,0.001,0.002,0.,0.002
4,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003
5,0.003,0.,0.002,0.003,0.,0.002,0.004,0.,0.003
6,0.004,0.,0.003,0.004,0.,0.004,0.005,0.,0.005
7,0.005,0.,0.005,0.005,0.,0.004,0.043,0.,0.042
8,0.007,0.002,0.005,0.007,0.002,0.005,0.005,0.,0.005
9,0.043,0.002,0.041,0.043,0.002,0.041,0.006,0.,0.006
10,0.045,0.003,0.042,0.044,0.001,0.043,0.007,0.,0.007
11,0.01,0.,0.01,0.01,0.,0.009,0.008,0.,0.008
12,0.012,0.,0.012,0.012,0.,0.012,0.009,0.,0.009
13,0.014,0.,0.014,0.014,0.,0.014,0.012,0.,0.012
14,,,,0.018,0.,0.018,0.012,0.,0.012
15,0.02,0.,0.02,0.02,0.,0.02,0.014,0.,0.014
16,,,,,,,0.016,0.,0.016
17,,,,,,,0.017,0.,0.017
18,,,,,,,0.02,0.,0.02
19,,,,,,,0.021,0.,0.021
20,0.043,0.,0.043,,,,0.024,0.,0.024
21,,,,,,,0.025,0.,0.025
22,,,,0.056,0.,0.056,0.067,0.005,0.061
23,,,,,,,0.031,0.,0.031
24,,,,,,,0.034,0.,0.034
25,,,,,,,0.035,0.,0.035
26,0.095,0.,0.095,,,,0.039,0.,0.038
27,,,,,,,0.042,0.,0.042
28,,,,,,,0.045,0.,0.045
29,,,,,,,0.05,0.,0.05
30,,,,0.146,0.,0.146,0.053,0.,0.052
31,,,,,,,0.058,0.,0.058
32,,,,,,,0.061,0.,0.061
33,0.209,0.,0.209,,,,0.065,0.,0.065
34,,,,,,,0.07,0.,0.07
35,,,,,,,0.073,0.,0.073
36,,,,,,,0.081,0.,0.081
37,,,,0.303,0.,0.302,0.083,0.,0.083
38,,,,,,,0.092,0.,0.092
39,0.369,0.,0.369,,,,0.098,0.,0.098
40,,,,,,,0.103,0.,0.103
41,,,,,,,0.111,0.,0.11
42,,,,,,,0.127,0.,0.124
43,,,,,,,0.118,0.,0.118
44,,,,,,,0.128,0.,0.128
45,,,,0.606,0.001,0.603,0.136,0.,0.136
46,0.684,0.,0.683,,,,0.142,0.,0.142
47,,,,,,,0.152,0.001,0.151
48,,,,,,,0.158,0.001,0.157
49,,,,,,,0.173,0.,0.173
50,,,,,,,0.179,0.,0.179
51,,,,,,,0.182,0.,0.182
52,1.073,0.,1.073,,,,,,
53,,,,1.113,0.,1.113,0.205,0.,0.205
54,,,,,,,0.216,0.,0.216
55,,,,,,,0.229,0.,0.229
56,,,,,,,0.223,0.,0.223
58,,,,,,,0.243,0.001,0.241
59,,,,,,,0.252,0.,0.252
60,,,,,,,0.266,0.,0.266
61,,,,,,,0.275,0.,0.275
62,2.056,0.,2.055,,,,,,
63,,,,2.161,0.,2.161,0.299,0.,0.299
64,,,,,,,0.333,0.,0.333
65,,,,,,,0.328,0.,0.328
66,,,,,,,0.339,0.,0.338
68,,,,,,,0.365,0.,0.365
69,,,,,,,0.383,0.001,0.381
70,,,,,,,0.395,0.,0.394
71,,,,,,,0.436,0.,0.436
73,3.855,0.,3.854,,,,0.474,0.001,0.473
74,,,,4.017,0.,4.017,0.482,0.,0.482
75,,,,,,,0.504,0.,0.503
78,,,,,,,0.568,0.001,0.566
80,,,,,,,0.596,0.,0.596
83,6.367,0.002,6.364,,,,0.637,0.,0.636
84,,,,6.571,0.001,6.569,,,
85,,,,,,,0.707,0.001,0.705
88,,,,,,,0.73,0.,0.73
90,,,,,,,0.781,0.,0.781
93,,,,,,,0.85,0.,0.85
94,10.247,0.002,10.244,,,,,,
95,,,,10.689,0.003,10.686,0.906,0.,0.906
98,,,,,,,0.987,0.,0.986
100,,,,,,,1.037,0.,1.037
104,14.722,0.001,14.721,,,,,,
105,,,,15.084,0.003,15.08,,,
106,,,,,,,1.298,0.001,1.296
120,,,,,,,1.802,0.,1.802
140,,,,,,,2.87,0.,2.87
159,,,,,,,4.04,0.003,4.037
179,,,,,,,5.565,0.001,5.562
199,,,,,,,7.762,0.,7.762
