param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
32,5,0.003,0.,0.002,0.002,0.,0.001,0.,0.,0.
64,6,0.006,0.001,0.005,0.004,0.,0.004,0.001,0.,0.
128,7,0.049,0.005,0.044,0.045,0.004,0.04,0.004,0.,0.003
256,8,0.026,0.,0.026,0.019,0.,0.019,0.006,0.,0.006
512,9,0.072,0.001,0.071,0.058,0.001,0.057,0.013,0.,0.013
1024,10,0.169,0.,0.169,0.141,0.,0.141,0.028,0.,0.028
2048,11,0.538,0.,0.537,0.467,0.,0.466,0.071,0.,0.071
4096,12,1.593,0.004,1.588,1.435,0.003,1.432,0.157,0.001,0.155
8192,13,5.212,0.008,5.203,4.914,0.006,4.907,0.297,0.001,0.295
16384,14,18.732,0.02,18.711,18.126,0.014,18.111,0.606,0.006,0.599
