param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
8191,12,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
16383,13,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.007,0.,0.007,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
32767,14,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.009,0.,0.009
65535,15,0.013,0.,0.013,0.018,0.001,0.016,0.013,0.,0.013,0.013,0.,0.013,0.027,0.,0.027,0.026,0.,0.026,0.013,0.,0.013
131071,16,0.045,0.,0.044,0.027,0.,0.027,0.061,0.,0.061,0.027,0.,0.027,0.027,0.,0.027,0.026,0.,0.026,0.029,0.,0.029
262143,17,0.108,0.003,0.105,0.053,0.,0.053,0.063,0.,0.062,0.054,0.,0.054,0.054,0.,0.054,0.053,0.,0.053,0.054,0.,0.054
524287,18,0.183,0.002,0.18,0.113,0.,0.113,0.115,0.,0.115,0.112,0.,0.112,0.116,0.,0.116,0.111,0.,0.111,0.111,0.,0.111
1048575,19,0.405,0.,0.405,0.232,0.,0.231,0.241,0.,0.24,0.236,0.,0.236,0.229,0.,0.229,0.232,0.,0.232,0.232,0.,0.232
2097151,20,0.604,0.008,0.596,0.474,0.,0.474,0.475,0.,0.475,0.474,0.,0.474,0.478,0.,0.478,0.481,0.,0.481,0.472,0.,0.472
4194303,21,1.225,0.,1.225,0.99,0.,0.99,0.966,0.,0.966,0.971,0.,0.971,0.97,0.,0.969,0.979,0.,0.979,0.97,0.,0.97
8388607,22,2.017,0.,2.017,1.953,0.,1.953,1.956,0.,1.956,1.948,0.,1.948,1.96,0.,1.96,1.946,0.,1.946,1.949,0.,1.949
