param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.017,0.,0.017,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
16383,13,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
32767,14,0.009,0.,0.009,0.015,0.,0.015,0.013,0.,0.012,0.009,0.,0.009,0.009,0.,0.009,0.009,0.,0.009,0.009,0.,0.009
65535,15,0.058,0.,0.058,0.019,0.,0.019,0.022,0.,0.022,0.02,0.,0.02,0.028,0.,0.027,0.019,0.,0.019,0.03,0.,0.03
131071,16,0.057,0.,0.057,0.039,0.,0.039,0.059,0.,0.058,0.072,0.,0.072,0.039,0.,0.039,0.046,0.,0.046,0.111,0.,0.111
262143,17,0.135,0.003,0.132,0.079,0.,0.079,0.087,0.,0.087,0.079,0.,0.079,0.174,0.,0.174,0.08,0.,0.08,0.079,0.,0.079
524287,18,0.322,0.001,0.32,0.165,0.,0.165,0.162,0.,0.162,0.164,0.,0.164,0.165,0.001,0.164,0.164,0.,0.164,0.165,0.,0.165
1048575,19,0.372,0.,0.372,0.316,0.,0.316,0.315,0.,0.315,0.318,0.,0.318,0.314,0.,0.314,0.314,0.,0.314,0.315,0.,0.315
2097151,20,0.892,0.,0.892,0.638,0.,0.638,0.633,0.,0.633,0.629,0.,0.629,0.633,0.,0.632,0.632,0.,0.632,0.632,0.,0.632
4194303,21,1.727,0.017,1.71,1.306,0.,1.306,1.263,0.,1.263,1.258,0.,1.258,1.32,0.,1.32,1.285,0.,1.284,1.303,0.,1.303
8388607,22,2.902,0.,2.902,2.638,0.,2.638,2.599,0.,2.599,2.516,0.,2.516,2.561,0.,2.561,2.571,0.,2.571,2.637,0.,2.637
