param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
3,0.002,0.,0.001,0.001,0.,0.001,0.002,0.,0.001
4,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003
5,0.004,0.,0.004,0.004,0.,0.003,0.005,0.001,0.004
6,0.005,0.002,0.003,0.005,0.,0.004,0.004,0.001,0.002
7,0.005,0.,0.004,0.005,0.001,0.003,0.005,0.001,0.004
8,0.006,0.001,0.004,0.006,0.001,0.004,0.006,0.,0.005
9,0.007,0.001,0.005,0.007,0.,0.007,0.007,0.001,0.005
10,0.009,0.001,0.007,0.008,0.002,0.005,0.007,0.001,0.005
11,0.01,0.001,0.009,0.01,0.,0.01,0.045,0.007,0.038
12,0.012,0.001,0.01,0.012,0.002,0.009,0.007,0.,0.007
13,0.05,0.,0.049,0.049,0.004,0.045,0.008,0.,0.008
14,,,,0.012,0.,0.012,0.009,0.,0.009
15,0.054,0.001,0.052,0.053,0.001,0.051,0.025,0.,0.025
16,,,,,,,0.011,0.,0.011
17,,,,,,,0.012,0.,0.012
18,,,,,,,0.013,0.,0.013
19,,,,,,,0.014,0.,0.014
20,0.024,0.,0.024,,,,0.015,0.,0.015
21,,,,,,,0.016,0.,0.016
22,,,,0.045,0.,0.045,0.024,0.003,0.02
23,,,,,,,0.02,0.,0.019
24,,,,,,,0.02,0.,0.02
25,,,,,,,0.026,0.,0.026
26,0.058,0.,0.058,,,,0.023,0.,0.023
27,,,,,,,0.025,0.,0.025
28,,,,,,,0.032,0.,0.032
29,,,,,,,0.027,0.,0.027
30,,,,0.062,0.,0.062,0.031,0.,0.03
31,,,,,,,0.031,0.,0.03
32,,,,,,,0.095,0.,0.095
33,0.076,0.,0.076,,,,0.034,0.,0.034
34,,,,,,,0.066,0.,0.066
35,,,,,,,0.038,0.,0.037
36,,,,,,,0.052,0.,0.052
37,,,,0.107,0.,0.107,0.041,0.,0.041
38,,,,,,,0.044,0.,0.044
39,0.119,0.,0.119,,,,0.05,0.,0.05
40,,,,,,,0.055,0.,0.055
41,,,,,,,0.05,0.,0.05
42,,,,,,,0.052,0.,0.052
43,,,,,,,0.111,0.005,0.105
44,,,,,,,0.06,0.,0.06
45,,,,0.176,0.,0.176,0.093,0.,0.093
46,0.248,0.,0.248,,,,0.073,0.,0.072
47,,,,,,,0.064,0.,0.064
48,,,,,,,0.066,0.,0.066
49,,,,,,,0.071,0.,0.071
50,,,,,,,0.075,0.,0.075
51,,,,,,,0.077,0.,0.077
52,0.294,0.,0.294,,,,,,
53,,,,0.364,0.,0.363,0.082,0.,0.082
54,,,,,,,0.083,0.,0.083
55,,,,,,,0.089,0.,0.088
56,,,,,,,0.095,0.,0.094
58,,,,,,,0.101,0.,0.101
59,,,,,,,0.105,0.,0.104
60,,,,,,,0.107,0.,0.107
61,,,,,,,0.11,0.002,0.108
62,0.514,0.,0.514,,,,,,
63,,,,0.523,0.,0.523,0.117,0.,0.116
64,,,,,,,0.121,0.002,0.118
65,,,,,,,0.124,0.,0.124
66,,,,,,,0.129,0.,0.129
68,,,,,,,0.142,0.,0.142
69,,,,,,,0.144,0.,0.144
70,,,,,,,0.151,0.,0.151
71,,,,,,,0.154,0.,0.154
73,0.648,0.,0.648,,,,0.167,0.,0.166
74,,,,0.674,0.,0.673,0.17,0.001,0.168
75,,,,,,,0.173,0.002,0.171
78,,,,,,,0.185,0.,0.184
80,,,,,,,0.193,0.,0.193
83,0.919,0.,0.919,,,,0.209,0.,0.209
84,,,,0.94,0.,0.939,,,
85,,,,,,,0.22,0.001,0.219
88,,,,,,,0.238,0.,0.237
90,,,,,,,0.247,0.,0.247
93,,,,,,,0.261,0.001,0.259
94,1.31,0.005,1.303,,,,,,
95,,,,1.35,0.004,1.346,0.267,0.,0.267
98,,,,,,,0.286,0.,0.286
100,,,,,,,0.31,0.,0.31
104,1.774,0.001,1.772,,,,,,
105,,,,1.83,0.,1.83,,,
106,,,,,,,0.441,0.,0.44
120,,,,,,,0.442,0.,0.441
140,,,,,,,0.616,0.,0.616
159,,,,,,,0.838,0.,0.837
179,,,,,,,1.105,0.001,1.103
199,,,,,,,1.392,0.004,1.387
